tree_ID,meas_seq,Site,Col,Row,Rep,Blk,Seedlot,Tree,HT3,Dam3,HT6,Dam6,Comment6,HT10,Dam10,Comment10
10118,1926,Ftne,23,78,1,15,348,2,65,,131,k,,212,,
10365,2173,Ftne,26,20,2,5,348,4,65,,126,,,274,,
10117,1925,Ftne,23,77,1,15,348,1,75,,147,,,256,,
8896,704,Ftne,9,32,7,12,348,4,76,,126,,,221,,
10211,2019,Ftne,25,3,3,7,348,3,40,c,57,,,131,,
10366,2174,Ftne,26,19,2,5,348,3,25,d,89,,,147,,
11385,3193,Ftne,38,56,6,7,348,4,36,d,96,,,175,,
10210,2018,Ftne,25,2,3,7,348,2,31,k,96,,,221,,
11387,3195,Ftne,38,54,6,7,348,2,46,k,84,k,,152,,
10310,2118,Ftne,26,75,8,16,348,3,51,k,103,,,211,,
8416,224,Ftne,3,56,5,9,348,4,55,k,143,,,287,,
8415,223,Ftne,3,55,5,9,348,3,42,ll,112,,,201,,
8894,702,Ftne,9,30,7,12,348,2,52,ll,99,k,,187,,
10368,2176,Ftne,26,17,2,5,348,1,34,t,84,,,90,,
9336,1144,Ftne,14,33,4,4,348,1,33,t ll,115,,,186,,
13093,773,Harr,15,13,8,5,348,1,41,,120,,,289,,
13095,775,Harr,15,15,8,5,348,3,47,,114,,,251,,
15460,3140,Harr,46,61,3,6,348,1,49,,138,,,208,,
15457,3137,Harr,46,64,3,6,348,4,49,,128,,,245,,
15470,3150,Harr,46,51,6,9,348,3,52,,132,,,220,,
13094,774,Harr,15,14,8,5,348,2,54,,128,,,192,,
15459,3139,Harr,46,62,3,6,348,2,57,,158,,,246,,
14811,2491,Harr,37,71,5,6,348,3,57,,154,,,314,,
14775,2455,Harr,37,35,7,13,348,3,58,,138,k,,210,,
14812,2492,Harr,37,72,5,6,348,4,58,,152,,,288,,
15068,2748,Harr,41,24,2,3,348,4,60,,155,,,274,,
15670,3350,Harr,48,11,4,15,348,3,63,,151,,,244,,
